"FIPS","State","County","X","Y","2012","2013","2014","2015","2016"
8085,"Colorado","Montrose County",-1058417.207,1776457.44,"45.3","47.7","51.4","53.4","53.2"
8087,"Colorado","Morgan County",-657761.8652,1943459.992,"49.8","48.5","50.5","50.5","51.2"
8089,"Colorado","Otero County",-671363.7325,1679164,"44","53.8","53.9","56","57.8"
8091,"Colorado","Ouray County",-1018936.481,1743361.799,"83.8","70.7","72","77.4","79.6"
8093,"Colorado","Park County",-830931.5592,1830789.968,"44.8","66","67.7","70.5","71.2"
8095,"Colorado","Phillips County",-533128.9017,1971382.704,"47.4","60.1","49.4","49","49"
8097,"Colorado","Pitkin County",-931742.6072,1852861.889,"46.1","80.1","80.2","82.6","78.6"
8099,"Colorado","Prowers County",-556013.2083,1676518.427,"50.3","54.9","54.2","54.2","56.5"
8101,"Colorado","Pueblo County",-737686.9471,1715372.271,"50.9","59.7","62","62.4","62.8"
8103,"Colorado","Rio Blanco County",-1031338.464,1951228.166,"40.4","51.3","50.4","52","56.4"
8105,"Colorado","Rio Grande County",-906423.8482,1665583.014,"46.4","55.8","60.8","57.7","59.9"
8107,"Colorado","Routt County",-921759.5471,1994620.387,"47.3","78.7","80.2","80.3","78.1"
8109,"Colorado","Saguache County",-891489.6983,1720138.187,"34.8","43.2","43","50.6","48.9"
8111,"Colorado","San Juan County",-1016284.352,1698857.061,"43.9","71.2","73.3","66.7","66.1"
8113,"Colorado","San Miguel County",-1075922.788,1733678.905,"46.6","73.5","75.4","74.9","76.5"
8115,"Colorado","Sedgwick County",-530564.7454,2002858.7,"43.9","59.2","58.4","61","67.9"
8117,"Colorado","Summit County",-858784.8352,1891714.34,"39.3","74.4","77.3","77.1","76.8"
8119,"Colorado","Teller County",-786157.6261,1799617.447,"35.6","63.8","65.2","67.6","62.3"
8121,"Colorado","Washington County",-609104.7815,1906774.289,"53.3","60.4","57.6","64","65.8"
8123,"Colorado","Weld County",-703941.7425,1980180.672,"34.9","62.1","62.1","62.3","61.6"
8125,"Colorado","Yuma County",-543238.3122,1905602.144,"45.6","57.5","58.6","59.9","65.8"
9001,"Connecticut","Fairfield County",1861863.825,2251708.214,"45.5","68.9","69.7","69.5","69.7"
9003,"Connecticut","Hartford County",1900269.968,2323058.093,"47.5","66","67.2","67.5","67.9"
9005,"Connecticut","Litchfield County",1859618.764,2311363.344,"43.1","64.9","64.6","66.4","66.3"
9007,"Connecticut","Middlesex County",1925466.445,2289801.725,"58.2","72.1","72.9","73.5","74.8"
9009,"Connecticut","New Haven County",1894969.234,2276090.852,"38.8","64.4","64.9","64.7","65.3"
9011,"Connecticut","New London County",1959597.493,2301208.01,"36","61.6","62.4","63.4","64.3"
9013,"Connecticut","Tolland County",1930655.593,2336303.275,"41.6","71.2","70.8","71.7","72"
9015,"Connecticut","Windham County",1959231.225,2340738.908,"63","52.9","54.6","56.3","57.8"
